epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_prec,val_prec,train_rec,val_rec,duration_sec
0,0.3457479001383387,4.188807184879597,0.9500908356878531,0.6045619701239311,0.8005646251210173,0.4097619730381988,0.9739941118696075,0.2634637737300912,0.6795617939038701,0.9214092140796557,37.48831224441528
1,0.21909796036028814,0.8170782797611676,0.9787545417839226,0.8922083165101086,0.923883560371354,0.7156549472981589,0.9789272030613835,0.5894736842053555,0.8747004450500695,0.9105691056787185,40.67164373397827
2,0.16667070674800102,2.442054884556012,0.9829430763014821,0.7704884941445893,0.938856724390449,0.5442885729839672,0.9953970080514177,0.3864541832647328,0.8883943854813817,0.9200542005295386,38.13007187843323
3,0.15165981784643184,0.33725261365851533,0.9837000403709206,0.9545821558317429,0.9416229843488977,0.8553054612398465,0.9973200612519245,0.8139534883621303,0.8918178705892098,0.9010840108278986,36.403348445892334
4,0.13815828225004576,0.13419958814166677,0.9838009689135123,0.9838514331833188,0.941984451907183,0.9432624063450933,0.9977029096439598,0.9895833333186074,0.8921602190999927,0.9010840108278986,39.29665923118591
5,0.13038079355572982,0.16252403803026447,0.9845579329829508,0.9771901493722706,0.9448847212350219,0.9228668891856352,0.9969593310490423,0.9298486932471822,0.8979801437833004,0.9159891598791872,37.90963816642761
6,0.12044749160507513,0.21770308708819824,0.9856176826801647,0.9656842955168234,0.9487502197890705,0.8881578897293456,0.9992424242386393,0.8631713554876832,0.9031153714450424,0.91463414632907,39.6016800403595
7,0.12073467465478085,0.3447170450519293,0.9857690754940523,0.9400484456985465,0.9493352447393898,0.8198908379802008,0.9988657844952784,0.7420417123958063,0.9044847654881737,0.9159891598791872,36.56660342216492
8,0.12062398820154129,0.282648228873045,0.9856681469514605,0.95316915623546,0.9489942478822626,0.8535353485478204,0.9981110691310989,0.7990543735130136,0.9044847654881737,0.9159891598791872,37.15896248817444
9,0.11833944147933395,0.2973386100612772,0.9864755752921949,0.9505450141280772,0.9519713211724857,0.8465873463017579,0.9988717562956041,0.7869615832271599,0.909277644639133,0.9159891598791872,40.79495453834534
