epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_prec,val_prec,train_rec,val_rec,duration_sec
0,0.25961605215690015,0.1490118021209692,0.9671291707959904,0.9855179846416641,0.8787488949161938,0.9490883208431798,0.9719934102127123,0.99999999999501,0.8018285149483546,0.9031095087836724,89.9572582244873
1,0.16649985474429396,0.13109334675466705,0.9832801086515833,0.9856527010635958,0.9406243839861094,0.949585793824781,0.9954476479500683,0.999999999995015,0.8915245861120688,0.904010815678666,88.99114227294922
2,0.15190819272456665,0.12230354759456782,0.9834085820208892,0.9865957160171179,0.9415189495965547,0.9532973430445194,0.9881857686026777,0.9946131243829843,0.899061032862739,0.9152771518660872,89.2170786857605
3,0.11500627039428887,0.09327165939010165,0.9876482032079823,0.9894921190886504,0.9566784629831419,0.9635684209713091,0.9986560946095973,0.9999999999951528,0.9180874722004966,0.929698062185986,88.54025864601135
4,0.10270125447103465,0.09374551146676571,0.9883639834084007,0.9893574026667187,0.9593485459164639,0.9630841071518462,0.9972007464662794,0.999999999995148,0.9242648875698983,0.9287967552909924,89.31545686721802
5,0.09483172812394168,0.08250313748380747,0.9883823367468729,0.9899636265654115,0.9594879950052634,0.965259962359892,0.9953525428216766,0.9999999999951691,0.9261181121807189,0.9328526363184639,98.13669991493225
6,0.08492209083518722,0.0791014924059333,0.9890981169472912,0.990233059409275,0.9620253114605584,0.9662398087379468,0.9968203497602056,0.9995183044267847,0.929577464787584,0.9351059035559482,89.74830937385559
7,0.08574869964455425,0.08209539916976516,0.9890247035934022,0.990233059409275,0.9617793635334683,0.9662398087379468,0.9962923728800367,0.9995183044267847,0.929577464787584,0.9351059035559482,89.15324354171753
8,0.08352995399241402,0.0768745749795424,0.9893183570089584,0.9905024922531385,0.9628684395620148,0.9672016698088225,0.9955145118720375,0.9995192307644254,0.9322955275501207,0.9369085173459356,97.42754459381104
9,0.0837174773920205,0.07702549206141125,0.9894835370552089,0.9905024922531385,0.9634496346034964,0.9672016698088225,0.9959119082144324,0.9995192307644254,0.933036817394449,0.9369085173459356,94.00246143341064
